,event_date,provider_account,total_price,total_price_usd,facebook-ads,google-ads,tiktok-ads,pinterest-ads,snapchat-ads,amazon
0,2022-06-23,beauty_shop_1,77429.900000000,77429.900000000,18648.720000000,2612.686860000,1000.000000000,0,0,0
0,2022-06-24,beauty_shop_1,66390.430000000,66390.430000000,20745.790000000,2366.779488000,1000.000000000,0,0,0
0,2022-06-25,beauty_shop_1,93917.750000000,93917.750000000,22841.180000000,2429.062682000,1000.000000000,0,0,0
0,2022-06-26,beauty_shop_1,193560.000000000,193560.000000000,38037.730000000,3314.513333000,2392.440000000,0,0,0
0,2022-06-27,beauty_shop_1,202225.990000000,202225.990000000,36825.170000000,3367.685930000,3408.760000000,0,0,0
0,2022-06-28,beauty_shop_1,169899.000000000,169899.000000000,36901.890000000,5150.287989000,3482.000000000,0,0,0
0,2022-06-29,beauty_shop_1,161319.500000000,161319.500000000,27053.180000000,4863.909530000,1969.010000000,0,0,0
0,2022-06-30,beauty_shop_1,187193.250000000,187193.250000000,29970.770000000,4219.829564000,2000.000000000,0,0,0
0,2022-07-01,beauty_shop_1,195801.990000000,195801.990000000,33321.210000000,3746.735776000,1999.170000000,0,0,0
0,2022-07-02,beauty_shop_1,202967.000000000,202967.000000000,36407.370000000,4957.348328000,2130.450000000,0,0,0
0,2022-07-03,beauty_shop_1,196160.390000000,196160.390000000,45067.980000000,5521.254108000,1451.660000000,0,0,0
0,2022-07-04,beauty_shop_1,217201.810000000,217201.810000000,32987.950000000,5800.444049000,1002.090000000,0,0,0
0,2022-07-05,beauty_shop_1,196930.030000000,196930.030000000,40091.330000000,4464.364535000,2143.510000000,0,0,0
0,2022-07-06,beauty_shop_1,86449.910000000,86449.910000000,16647.670000000,3076.856294000,1000.000000000,0,0,0
0,2022-07-07,beauty_shop_1,99182.030000000,99182.030000000,16536.840000000,3233.279083000,1000.000000000,0,0,0
0,2022-07-08,beauty_shop_1,100523.160000000,100523.160000000,15955.480000000,2779.070272000,1000.000000000,0,0,0
0,2022-07-09,beauty_shop_1,101681.230000000,101681.230000000,17507.030000000,2701.793670000,1000.000000000,0,0,0
0,2022-07-10,beauty_shop_1,193113.610000000,193113.610000000,39439.770000000,3746.599120000,2000.000000000,0,0,0
0,2022-07-11,beauty_shop_1,160566.260000000,160566.260000000,44083.020000000,4767.892665000,1987.090000000,0,0,0
0,2022-07-12,beauty_shop_1,141364.930000000,141364.930000000,30906.040000000,3780.120899000,1690.000000000,0,0,0
0,2022-07-13,beauty_shop_1,136683.980000000,136683.980000000,26655.450000000,3634.369336000,1499.960000000,0,0,0
0,2022-07-14,beauty_shop_1,175147.870000000,175147.870000000,23509.810000000,3418.757203000,1490.170000000,0,0,0
0,2022-07-15,beauty_shop_1,94733.180000000,94733.180000000,16903.660000000,2936.761877000,1809.890000000,0,0,0
0,2022-07-16,beauty_shop_1,83060.700000000,83060.700000000,20044.220000000,3297.453245000,1500.000000000,0,0,0
0,2022-07-17,beauty_shop_1,89264.090000000,89264.090000000,19341.670000000,2499.753639000,1397.760000000,0,0,0
0,2022-07-18,beauty_shop_1,65109.720000000,65109.720000000,17450.720000000,3059.042278000,997.050000000,0,0,0
0,2022-07-19,beauty_shop_1,92962.690000000,92962.690000000,17486.320000000,2752.703892000,1498.770000000,0,0,0
0,2022-07-20,beauty_shop_1,89821.020000000,89821.020000000,17007.050000000,2817.314533000,1497.140000000,0,0,0
0,2022-07-21,beauty_shop_1,82218.210000000,82218.210000000,17022.670000000,2304.191215000,1500.000000000,0,0,0
0,2022-07-22,beauty_shop_1,71428.230000000,71428.230000000,17592.540000000,2749.372745000,1499.990000000,0,0,0
